1,0.00,FALSE,FALSE,FALSE,FALSE,TRUE,15-16-32
2,49.90,FALSE,FALSE,FALSE,TRUE,FALSE,15-18-19-32
3,75.00,TRUE,FALSE,FALSE,FALSE,FALSE,15-18-21-22-32
4,124.90,TRUE,TRUE,FALSE,FALSE,FALSE,15-18-21-24-25-32
5,250.00,FALSE,TRUE,FALSE,FALSE,FALSE,15-18-21-24-27-28-32
6,250.10,FALSE,FALSE,TRUE,FALSE,FALSE,15-18-21-24-27-30-32
7,0.10,FALSE,FALSE,FALSE,TRUE,FALSE,-
8,50.00,TRUE,FALSE,FALSE,FALSE,FALSE,-
9,75.10,TRUE,TRUE,FALSE,FALSE,FALSE,-
10,125.00,FALSE,TRUE,FALSE,FALSE,FALSE,-
11,1000.00,FALSE,FALSE,TRUE,FALSE,FALSE,-
