1,1,1,2101,365,TT for statement 8 and FTT for statement 9
2,1,1,2021,366,FFT for statement 9
3,1,1,2401,366,FTF for statement 9
4,1,1,2019,365,TFT for statement 9
5,2,1,2100,31,FT for statement 8 and FTT for statement 12
6,2,1,2020,31,FFT for statement 12
7,2,1,2400,31,FTF for statement 12
8,2,1,2019,31,TFT for statement 9
9,3,31,2019,89,
10,4,30,2019,119,
11,5,31,2019,150,
12,6,30,2019,180,
13,7,31,2019,211,
14,8,31,2019,242,
15,9,30,2019,272,
16,10,31,2019,303,
17,11,30,2019,333,
18,12,31,2019,364,
19,1,2,2019,1,TF for statement 8
20,1,1,2020,365,BV
21,1,1,2100,365,BV
22,1,1,2102,365,BV
23,1,1,2400,365,BV
24,1,1,2402,365,BV
25,2,1,2099,31,BV
22,2,1,2101,31,BV
23,2,1,2399,31,BV
24,2,1,2401,31,BV
