1,1000.1,84.9,TRUE,FALSE,1.00,9-10-20-23,TTFT
2,500,84.9,TRUE,TRUE,1.05,9-12-13-23,TTTT
3,250.1,84.9,TRUE,TRUE,1.10,9-12-15-16-23,TTTT
4,100,84.9,TRUE,TRUE,1.25,9-12-15-18-19-23,TTTT
5,99.9,84.9,TRUE,TRUE,1.50,9-12-15-18-21-23,TTTT
6,99.9,49.9,TRUE,FALSE,1.50,-,FTTT
7,99.9,85,TRUE,FALSE,1.50,,TFTT
8,99.9,84.9,FALSE,FALSE,1.50,-,TTTF
9,1000,84.9,TRUE,TRUE,1.05,-,BV for distance
10,499.9,84.9,TRUE,TRUE,1.10,-,BV for distance
11,250,84.9,TRUE,TRUE,1.25,-,BV for distance
12,99.9,50,TRUE,TRUE,1.50,-,BV for speed
13,0,84.9,TRUE,TRUE,1.50,-,Extreme Range distance
14,5000,84.9,TRUE,FALSE,1.00,-,Extreme Range distance
15,1000.1,0,TRUE,FALSE,1.00,-,Extreme Range speed
16,1000.1,150,TRUE,FALSE,1.00,-,Extreme Range speed
